,Event,Description,Team,Lat,Lon
130,Faceoff,Patrice Bergeron faceoff won against Brayden Schenn,Boston Bruins,0.0,0.0
132,Faceoff,Brayden Schenn faceoff won against Patrice Bergeron,St. Louis Blues,22.0,-20.0
133,Shot,Vladimir Tarasenko Wrist Shot saved by Tuukka Rask,St. Louis Blues,3.0,75.0
134,Blocked Shot,Patrice Bergeron,Boston Bruins,7.0,76.0
135,Blocked Shot,Zdeno Chara,Boston Bruins,-11.0,76.0
136,Giveaway,Giveaway by Jaden Schwartz,St. Louis Blues,32.0,22.0
137,Missed Shot,Jaden Schwartz - Wide of Net,St. Louis Blues,32.0,41.0
138,Goal,"Ryan O'Reilly (6) Backhand, assists: Zach Sanford (3), Alex Pietrangelo (14)",St. Louis Blues,0.0,65.0
139,Faceoff,Ryan O'Reilly faceoff won against David Krejci,St. Louis Blues,0.0,0.0
140,Takeaway,Takeaway by Ivan Barbashev,St. Louis Blues,39.0,72.0
141,Takeaway,Takeaway by Carl Gunnarsson,St. Louis Blues,-22.0,-40.0
142,Hit,Ivan Barbashev hit David Krejci,St. Louis Blues,24.0,95.0
143,Hit,Noel Acciari hit Sammy Blais,Boston Bruins,27.0,-83.0
144,Shot,Noel Acciari Deflected saved by Jordan Binnington,Boston Bruins,3.0,-75.0
146,Faceoff,Ryan O'Reilly faceoff won against Patrice Bergeron,St. Louis Blues,22.0,-69.0
147,Takeaway,Takeaway by Ryan O'Reilly,St. Louis Blues,-5.0,-97.0
148,Shot,Ryan O'Reilly Wrist Shot saved by Tuukka Rask,St. Louis Blues,19.0,68.0
149,Shot,Ryan O'Reilly Wrist Shot saved by Tuukka Rask,St. Louis Blues,7.0,83.0
151,Faceoff,Brayden Schenn faceoff won against Noel Acciari,St. Louis Blues,22.0,69.0
152,Hit,Brayden Schenn hit Zdeno Chara,St. Louis Blues,38.0,42.0
154,Faceoff,Noel Acciari faceoff won against Brayden Schenn,Boston Bruins,22.0,69.0
155,Hit,Vladimir Tarasenko hit Charlie McAvoy,St. Louis Blues,36.0,59.0
156,Hit,Sean Kuraly hit Vince Dunn,Boston Bruins,-13.0,-92.0
157,Shot,Zdeno Chara Snap Shot saved by Jordan Binnington,Boston Bruins,-14.0,-55.0
158,Shot,Sean Kuraly Wrist Shot saved by Jordan Binnington,Boston Bruins,5.0,-61.0
159,Hit,Brayden Schenn hit Noel Acciari,St. Louis Blues,39.0,-69.0
160,Hit,Danton Heinen hit Robert Bortuzzo,Boston Bruins,8.0,-96.0
161,Hit,Ivan Barbashev hit Steven Kampfer,St. Louis Blues,-12.0,95.0
162,Hit,Alexander Steen hit Danton Heinen,St. Louis Blues,36.0,47.0
163,Hit,David Krejci hit Alex Pietrangelo,Boston Bruins,-35.0,-79.0
164,Giveaway,Giveaway by Colton Parayko,St. Louis Blues,28.0,-91.0
165,Hit,David Krejci hit Alex Pietrangelo,Boston Bruins,10.0,-96.0
166,Takeaway,Takeaway by Ryan O'Reilly,St. Louis Blues,26.0,94.0
167,Takeaway,Takeaway by Charlie McAvoy,Boston Bruins,39.0,76.0
168,Hit,Zach Sanford hit Torey Krug,St. Louis Blues,28.0,93.0
170,Faceoff,Patrice Bergeron faceoff won against Jaden Schwartz,Boston Bruins,22.0,69.0
171,Hit,Brayden Schenn hit Charlie McAvoy,St. Louis Blues,36.0,82.0
172,Blocked Shot,Jaden Schwartz,St. Louis Blues,4.0,-69.0
174,Faceoff,David Krejci faceoff won against Ivan Barbashev,Boston Bruins,22.0,20.0
175,Hit,Alexander Steen hit Connor Clifton,St. Louis Blues,-32.0,95.0
176,Blocked Shot,Connor Clifton,Boston Bruins,5.0,70.0
178,Faceoff,Ryan O'Reilly faceoff won against Noel Acciari,St. Louis Blues,22.0,69.0
179,Blocked Shot,Brandon Carlo,Boston Bruins,4.0,70.0
181,Faceoff,Charlie Coyle faceoff won against Brayden Schenn,Boston Bruins,-22.0,-20.0
182,Missed Shot,Marcus Johansson - Wide of Net,Boston Bruins,4.0,-75.0
183,Hit,Danton Heinen hit Brayden Schenn,Boston Bruins,-33.0,-76.0
185,Faceoff,Noel Acciari faceoff won against Ivan Barbashev,Boston Bruins,22.0,20.0
186,Hit,Carl Gunnarsson hit Sean Kuraly,St. Louis Blues,38.0,-15.0
187,Shot,Joakim Nordstrom Wrist Shot saved by Jordan Binnington,Boston Bruins,12.0,-62.0
188,Hit,Sean Kuraly hit Carl Gunnarsson,Boston Bruins,39.0,-75.0
189,Penalty,David Perron Interference against David Pastrnak,St. Louis Blues,-36.0,-30.0
190,Faceoff,Ryan O'Reilly faceoff won against Patrice Bergeron,St. Louis Blues,-22.0,-69.0
192,Faceoff,Patrice Bergeron faceoff won against Ivan Barbashev,Boston Bruins,22.0,69.0
193,Shot,Torey Krug Slap Shot saved by Jordan Binnington,Boston Bruins,21.0,-40.0
195,Faceoff,Charlie Coyle faceoff won against Ryan O'Reilly,Boston Bruins,22.0,-69.0
196,Shot,Steven Kampfer Slap Shot saved by Jordan Binnington,Boston Bruins,-21.0,-44.0
197,Shot,Zdeno Chara Slap Shot saved by Jordan Binnington,Boston Bruins,-29.0,-40.0
199,Faceoff,Sean Kuraly faceoff won against Brayden Schenn,Boston Bruins,-22.0,-69.0
201,Faceoff,Ryan O'Reilly faceoff won against David Krejci,St. Louis Blues,-22.0,-69.0
202,Hit,David Krejci hit Vince Dunn,Boston Bruins,9.0,-97.0
203,Faceoff,Patrice Bergeron faceoff won against Ryan O'Reilly,Boston Bruins,22.0,-69.0
205,Missed Shot,Torey Krug - Wide of Net,Boston Bruins,2.0,-36.0
206,Takeaway,Takeaway by Colton Parayko,St. Louis Blues,-25.0,-87.0
208,Faceoff,Brayden Schenn faceoff won against Noel Acciari,St. Louis Blues,22.0,-20.0
209,Hit,Zdeno Chara hit Vladimir Tarasenko,Boston Bruins,-38.0,-1.0
211,Faceoff,David Krejci faceoff won against Ivan Barbashev,Boston Bruins,22.0,-20.0
212,Takeaway,Takeaway by Brandon Carlo,Boston Bruins,-3.0,47.0
213,Hit,Torey Krug hit Zach Sanford,Boston Bruins,38.0,-11.0
214,Missed Shot,Colton Parayko - Over Net,St. Louis Blues,-7.0,39.0
216,Faceoff,Brayden Schenn faceoff won against Patrice Bergeron,St. Louis Blues,22.0,69.0
217,Hit,Brandon Carlo hit Vladimir Tarasenko,Boston Bruins,-38.0,46.0
218,Giveaway,Giveaway by Jaden Schwartz,St. Louis Blues,-31.0,91.0
219,Shot,Patrice Bergeron Backhand saved by Jordan Binnington,Boston Bruins,-6.0,-5.0
220,Shot,Sammy Blais Wrist Shot saved by Tuukka Rask,St. Louis Blues,4.0,46.0
222,Faceoff,Ryan O'Reilly faceoff won against David Krejci,St. Louis Blues,-22.0,69.0
223,Blocked Shot,Brandon Carlo,Boston Bruins,-14.0,64.0
224,Blocked Shot,Torey Krug,Boston Bruins,6.0,58.0
225,Giveaway,Giveaway by Torey Krug,Boston Bruins,-34.0,42.0
226,Giveaway,Giveaway by Jake DeBrusk,Boston Bruins,29.0,-73.0
227,Hit,Alexander Steen hit Brad Marchand,St. Louis Blues,4.0,32.0
228,Blocked Shot,Zdeno Chara,Boston Bruins,3.0,68.0
229,Hit,Zdeno Chara hit Alexander Steen,Boston Bruins,7.0,27.0
231,Faceoff,Ryan O'Reilly faceoff won against Noel Acciari,St. Louis Blues,22.0,69.0
232,Shot,Carl Gunnarsson Wrist Shot saved by Tuukka Rask,St. Louis Blues,23.0,35.0
233,Giveaway,Giveaway by Joakim Nordstrom,Boston Bruins,2.0,-15.0
235,Faceoff,Oskar Sundqvist faceoff won against David Krejci,St. Louis Blues,-22.0,-69.0
236,Blocked Shot,David Krejci,Boston Bruins,-11.0,75.0
241,Faceoff,Patrice Bergeron faceoff won against Brayden Schenn,Boston Bruins,0.0,0.0
243,Faceoff,Patrice Bergeron faceoff won against Brayden Schenn,Boston Bruins,22.0,-69.0
244,Missed Shot,John Moore - Wide of Net,Boston Bruins,29.0,35.0
245,Shot,David Pastrnak Backhand saved by Jordan Binnington,Boston Bruins,27.0,77.0
247,Faceoff,Oskar Sundqvist faceoff won against David Krejci,St. Louis Blues,22.0,69.0
248,Blocked Shot,Steven Kampfer,Boston Bruins,4.0,-54.0
250,Faceoff,Sean Kuraly faceoff won against Tyler Bozak,Boston Bruins,22.0,-69.0
251,Blocked Shot,Sammy Blais,St. Louis Blues,-7.0,59.0
253,Faceoff,Ryan O'Reilly faceoff won against David Krejci,St. Louis Blues,-22.0,69.0
254,Penalty,Alexander Steen Interference against David Krejci,St. Louis Blues,-3.0,-24.0
255,Faceoff,Ryan O'Reilly faceoff won against Patrice Bergeron,St. Louis Blues,22.0,69.0
256,Blocked Shot,Robert Bortuzzo,St. Louis Blues,5.0,70.0
258,Faceoff,Tyler Bozak faceoff won against Patrice Bergeron,St. Louis Blues,22.0,69.0
259,Missed Shot,Patrice Bergeron - Wide of Net,Boston Bruins,3.0,70.0
260,Shot,Torey Krug Wrist Shot saved by Jordan Binnington,Boston Bruins,9.0,40.0
261,Missed Shot,Torey Krug - Wide of Net,Boston Bruins,-26.0,80.0
262,Missed Shot,David Pastrnak - Wide of Net,Boston Bruins,27.0,63.0
264,Faceoff,Tyler Bozak faceoff won against David Krejci,St. Louis Blues,22.0,20.0
265,Shot,Colton Parayko Wrist Shot saved by Tuukka Rask,St. Louis Blues,3.0,56.0
266,Takeaway,Takeaway by Charlie Coyle,Boston Bruins,20.0,-4.0
267,Missed Shot,Charlie McAvoy - Wide of Net,Boston Bruins,-8.0,70.0
268,Hit,Jaden Schwartz hit Charlie McAvoy,St. Louis Blues,38.0,8.0
269,Takeaway,Takeaway by Colton Parayko,St. Louis Blues,16.0,75.0
270,Hit,Joakim Nordstrom hit David Perron,Boston Bruins,36.0,64.0
271,Shot,Brandon Carlo Slap Shot saved by Jordan Binnington,Boston Bruins,-17.0,38.0
273,Faceoff,Ryan O'Reilly faceoff won against Patrice Bergeron,St. Louis Blues,-22.0,69.0
274,Hit,Jay Bouwmeester hit Patrice Bergeron,St. Louis Blues,-31.0,68.0
275,Missed Shot,John Moore - Wide of Net,Boston Bruins,30.0,37.0
277,Faceoff,David Krejci faceoff won against Ryan O'Reilly,Boston Bruins,-22.0,69.0
278,Shot,Marcus Johansson Wrist Shot saved by Jordan Binnington,Boston Bruins,-27.0,57.0
280,Faceoff,Ryan O'Reilly faceoff won against David Krejci,St. Louis Blues,-22.0,69.0
281,Takeaway,Takeaway by David Krejci,Boston Bruins,26.0,-47.0
282,Shot,David Pastrnak Wrap-around saved by Jordan Binnington,Boston Bruins,7.0,84.0
283,Shot,David Pastrnak Wrist Shot saved by Jordan Binnington,Boston Bruins,5.0,86.0
285,Faceoff,Patrice Bergeron faceoff won against Tyler Bozak,Boston Bruins,22.0,69.0
286,Shot,Vladimir Tarasenko Wrist Shot saved by Tuukka Rask,St. Louis Blues,-16.0,-73.0
288,Faceoff,Tyler Bozak faceoff won against Sean Kuraly,St. Louis Blues,0.0,0.0
289,Hit,Sammy Blais hit Steven Kampfer,St. Louis Blues,34.0,-90.0
290,Missed Shot,Colton Parayko - Goalpost,St. Louis Blues,15.0,-43.0
291,Hit,David Krejci hit Zach Sanford,Boston Bruins,28.0,-90.0
292,Hit,Steven Kampfer hit Oskar Sundqvist,Boston Bruins,-35.0,-51.0
293,Shot,Ivan Barbashev Wrist Shot saved by Tuukka Rask,St. Louis Blues,10.0,-70.0
295,Faceoff,Brayden Schenn faceoff won against Sean Kuraly,St. Louis Blues,22.0,-69.0
296,Hit,Sean Kuraly hit Brayden Schenn,Boston Bruins,34.0,-88.0
297,Missed Shot,Vladimir Tarasenko - Over Net,St. Louis Blues,-24.0,-63.0
298,Goal,"David Perron (7) Wrist Shot, assists: Ryan O'Reilly (14), Tyler Bozak (8)",St. Louis Blues,13.0,-66.0
300,Faceoff,Oskar Sundqvist faceoff won against David Krejci,St. Louis Blues,0.0,0.0
301,Hit,Ivan Barbashev hit Charlie McAvoy,St. Louis Blues,-9.0,-94.0
302,Shot,Brad Marchand Wrist Shot saved by Jordan Binnington,Boston Bruins,28.0,-11.0
304,Faceoff,Tyler Bozak faceoff won against Charlie Coyle,St. Louis Blues,22.0,69.0
305,Shot,Brad Marchand Wrap-around saved by Jordan Binnington,Boston Bruins,-5.0,88.0
307,Faceoff,Patrice Bergeron faceoff won against Ryan O'Reilly,Boston Bruins,-22.0,69.0
308,Takeaway,Takeaway by Ryan O'Reilly,St. Louis Blues,-27.0,2.0
309,Shot,Vladimir Tarasenko Wrist Shot saved by Tuukka Rask,St. Louis Blues,0.0,-71.0
311,Faceoff,Jaden Schwartz faceoff won against David Krejci,St. Louis Blues,-22.0,-69.0
312,Giveaway,Giveaway by David Pastrnak,Boston Bruins,20.0,60.0
313,Takeaway,Takeaway by Torey Krug,Boston Bruins,12.0,31.0
314,Hit,Joakim Nordstrom hit Colton Parayko,Boston Bruins,37.0,54.0
315,Goal,"Jake DeBrusk (4) Wrist Shot, assists: Torey Krug (15)",Boston Bruins,-25.0,74.0
316,Faceoff,Ryan O'Reilly faceoff won against Patrice Bergeron,St. Louis Blues,0.0,0.0
317,Shot,Zach Sanford Wrist Shot saved by Tuukka Rask,St. Louis Blues,11.0,-61.0
318,Hit,Brandon Carlo hit Ryan O'Reilly,Boston Bruins,-38.0,-63.0
319,Hit,Charlie Coyle hit Jay Bouwmeester,Boston Bruins,27.0,95.0
321,Faceoff,David Krejci faceoff won against Brayden Schenn,Boston Bruins,22.0,69.0
322,Missed Shot,David Perron - Wide of Net,St. Louis Blues,3.0,-70.0
324,Faceoff,Patrice Bergeron faceoff won against Ryan O'Reilly,Boston Bruins,-22.0,69.0
325,Missed Shot,Charlie Coyle - Wide of Net,Boston Bruins,-15.0,65.0
326,Hit,Brad Marchand hit Vladimir Tarasenko,Boston Bruins,34.0,-17.0
327,Shot,Sean Kuraly Snap Shot saved by Jordan Binnington,Boston Bruins,18.0,75.0
328,Shot,Charlie McAvoy Deflected saved by Jordan Binnington,Boston Bruins,0.0,71.0
330,Faceoff,Patrice Bergeron faceoff won against Ryan O'Reilly,Boston Bruins,22.0,69.0
331,Blocked Shot,Alexander Steen,St. Louis Blues,10.0,63.0
332,Shot,Alex Pietrangelo Wrist Shot saved by Tuukka Rask,St. Louis Blues,40.0,24.0
333,Takeaway,Takeaway by Charlie Coyle,Boston Bruins,35.0,85.0
334,Hit,Brayden Schenn hit Charlie Coyle,St. Louis Blues,36.0,61.0
335,Shot,John Moore Slap Shot saved by Jordan Binnington,Boston Bruins,30.0,35.0
337,Faceoff,Ryan O'Reilly faceoff won against David Krejci,St. Louis Blues,-22.0,-20.0
338,Blocked Shot,Alex Pietrangelo,St. Louis Blues,-8.0,73.0
339,Giveaway,Giveaway by Oskar Sundqvist,St. Louis Blues,-33.0,80.0
340,Blocked Shot,Alexander Steen,St. Louis Blues,8.0,66.0
342,Faceoff,Patrice Bergeron faceoff won against Ryan O'Reilly,Boston Bruins,22.0,69.0
343,Blocked Shot,Ryan O'Reilly,St. Louis Blues,11.0,64.0
344,Shot,Torey Krug Wrist Shot saved by Jordan Binnington,Boston Bruins,-18.0,65.0
346,Faceoff,Patrice Bergeron faceoff won against Ryan O'Reilly,Boston Bruins,-22.0,69.0
347,Shot,David Krejci Slap Shot saved by Jordan Binnington,Boston Bruins,-8.0,40.0
,Event,Description,Team,Lat,Lon
3,Faceoff,Ryan O'Reilly faceoff won against Sean Kuraly,St. Louis Blues,0.0,0.0
4,Missed Shot,Noel Acciari - Wide of Net,Boston Bruins,3.0,-64.0
6,Faceoff,Brayden Schenn faceoff won against Patrice Bergeron,St. Louis Blues,22.0,69.0
7,Shot,Patrice Bergeron Wrist Shot saved by Jordan Binnington,Boston Bruins,37.0,-76.0
9,Faceoff,Oskar Sundqvist faceoff won against Jake DeBrusk,St. Louis Blues,22.0,-69.0
10,Hit,Jake DeBrusk hit Oskar Sundqvist,Boston Bruins,28.0,-97.0
11,Blocked Shot,Carl Gunnarsson,St. Louis Blues,0.0,-61.0
12,Hit,Oskar Sundqvist hit Brandon Carlo,St. Louis Blues,-30.0,98.0
13,Hit,Sammy Blais hit Danton Heinen,St. Louis Blues,2.0,-97.0
14,Shot,Tyler Bozak Backhand saved by Tuukka Rask,St. Louis Blues,6.0,78.0
16,Faceoff,Ryan O'Reilly faceoff won against Sean Kuraly,St. Louis Blues,22.0,69.0
17,Blocked Shot,Joakim Nordstrom,Boston Bruins,-14.0,69.0
18,Hit,Joakim Nordstrom hit David Perron,Boston Bruins,-42.0,83.0
19,Hit,David Perron hit Joakim Nordstrom,St. Louis Blues,-42.0,54.0
20,Hit,Zdeno Chara hit David Perron,Boston Bruins,-40.0,55.0
21,Penalty,Sean Kuraly Delaying Game - Puck over glass,Boston Bruins,-38.0,92.0
22,Faceoff,Ryan O'Reilly faceoff won against Patrice Bergeron,St. Louis Blues,-22.0,69.0
23,Missed Shot,Pat Maroon - Wide of Net,St. Louis Blues,-8.0,84.0
24,Shot,Vince Dunn Wrist Shot saved by Tuukka Rask,St. Louis Blues,3.0,39.0
25,Shot,Brayden Schenn Wrist Shot saved by Tuukka Rask,St. Louis Blues,2.0,75.0
26,Shot,David Perron Wrist Shot saved by Tuukka Rask,St. Louis Blues,-13.0,80.0
27,Hit,John Moore hit Jaden Schwartz,Boston Bruins,-8.0,91.0
29,Faceoff,Ryan O'Reilly faceoff won against Patrice Bergeron,St. Louis Blues,-22.0,69.0
30,Takeaway,Takeaway by Alex Pietrangelo,St. Louis Blues,27.0,-8.0
31,Hit,Connor Clifton hit Oskar Sundqvist,Boston Bruins,18.0,97.0
32,Hit,Sammy Blais hit Karson Kuhlman,St. Louis Blues,24.0,97.0
33,Shot,David Perron Wrist Shot saved by Tuukka Rask,St. Louis Blues,-10.0,76.0
34,Blocked Shot,David Pastrnak,Boston Bruins,-15.0,52.0
35,Blocked Shot,Marcus Johansson,Boston Bruins,11.0,76.0
36,Takeaway,Takeaway by Robert Thomas,St. Louis Blues,-20.0,97.0
37,Hit,Jaden Schwartz hit Sean Kuraly,St. Louis Blues,-41.0,-29.0
39,Penalty,Brayden Schenn Boarding against Joakim Nordstrom,St. Louis Blues,40.0,-83.0
40,Faceoff,Ryan O'Reilly faceoff won against Patrice Bergeron,St. Louis Blues,22.0,-69.0
41,Takeaway,Takeaway by Ryan O'Reilly,St. Louis Blues,36.0,-42.0
42,Takeaway,Takeaway by Brad Marchand,Boston Bruins,-40.0,-42.0
43,Penalty,Ryan O'Reilly Delaying Game - Puck over glass,St. Louis Blues,-32.0,-81.0
44,Faceoff,Patrice Bergeron faceoff won against Alexander Steen,Boston Bruins,-22.0,-69.0
45,Shot,Torey Krug Slap Shot saved by Jordan Binnington,Boston Bruins,20.0,-44.0
46,Shot,Patrice Bergeron Wrist Shot saved by Jordan Binnington,Boston Bruins,6.0,-77.0
47,Goal,"Brad Marchand (9) Wrist Shot, assists: David Pastrnak (10), Torey Krug (16)",Boston Bruins,25.0,-73.0
48,Faceoff,David Krejci faceoff won against Tyler Bozak,Boston Bruins,0.0,0.0
49,Hit,Oskar Sundqvist hit Charlie McAvoy,St. Louis Blues,21.0,98.0
50,Blocked Shot,Alexander Steen,St. Louis Blues,-2.0,-59.0
51,Shot,David Krejci Wrist Shot saved by Jordan Binnington,Boston Bruins,-16.0,-73.0
52,Takeaway,Takeaway by Tyler Bozak,St. Louis Blues,30.0,-66.0
53,Blocked Shot,Jay Bouwmeester,St. Louis Blues,-11.0,-76.0
55,Faceoff,Jake DeBrusk faceoff won against Brayden Schenn,Boston Bruins,-22.0,-69.0
56,Shot,Jake DeBrusk Slap Shot saved by Jordan Binnington,Boston Bruins,-23.0,-65.0
58,Faceoff,David Krejci faceoff won against Brayden Schenn,Boston Bruins,-22.0,-69.0
59,Blocked Shot,Robert Bortuzzo,St. Louis Blues,-6.0,-68.0
60,Shot,David Krejci Wrist Shot saved by Jordan Binnington,Boston Bruins,1.0,-74.0
61,Shot,Jake DeBrusk Wrist Shot saved by Jordan Binnington,Boston Bruins,2.0,-84.0
63,Faceoff,Karson Kuhlman faceoff won against Tyler Bozak,Boston Bruins,-22.0,-69.0
64,Shot,Jake DeBrusk Snap Shot saved by Jordan Binnington,Boston Bruins,22.0,-51.0
65,Shot,Sean Kuraly Wrist Shot saved by Jordan Binnington,Boston Bruins,-28.0,-26.0
67,Faceoff,Brad Marchand faceoff won against Ryan O'Reilly,Boston Bruins,-22.0,-69.0
68,Hit,Zach Sanford hit Torey Krug,St. Louis Blues,30.0,98.0
69,Hit,Robert Bortuzzo hit Joakim Nordstrom,St. Louis Blues,-40.0,-10.0
70,Giveaway,Giveaway by John Moore,Boston Bruins,-2.0,99.0
71,Giveaway,Giveaway by Robert Thomas,St. Louis Blues,6.0,96.0
72,Missed Shot,Pat Maroon - Wide of Net,St. Louis Blues,-8.0,81.0
73,Hit,Noel Acciari hit Vince Dunn,Boston Bruins,40.0,80.0
74,Shot,Colton Parayko Slap Shot saved by Tuukka Rask,St. Louis Blues,-19.0,34.0
75,Blocked Shot,Noel Acciari,Boston Bruins,1.0,62.0
76,Blocked Shot,Noel Acciari,Boston Bruins,10.0,54.0
77,Blocked Shot,Sean Kuraly,Boston Bruins,-13.0,71.0
78,Takeaway,Takeaway by Jaden Schwartz,St. Louis Blues,-40.0,82.0
79,Hit,Zdeno Chara hit Brayden Schenn,Boston Bruins,-12.0,99.0
80,Giveaway,Giveaway by Jordan Binnington,St. Louis Blues,-8.0,-96.0
81,Hit,Zdeno Chara hit Alex Pietrangelo,Boston Bruins,-40.0,-1.0
82,Shot,David Perron Snap Shot saved by Tuukka Rask,St. Louis Blues,-15.0,55.0
84,Faceoff,Charlie Coyle faceoff won against Tyler Bozak,Boston Bruins,-22.0,69.0
85,Hit,Charlie Coyle hit Pat Maroon,Boston Bruins,34.0,-38.0
86,Shot,Marcus Johansson Slap Shot saved by Jordan Binnington,Boston Bruins,11.0,-63.0
87,Giveaway,Giveaway by Tyler Bozak,St. Louis Blues,21.0,-7.0
88,Giveaway,Giveaway by Jordan Binnington,St. Louis Blues,-3.0,-97.0
89,Takeaway,Takeaway by Brayden Schenn,St. Louis Blues,14.0,-85.0
91,Faceoff,Oskar Sundqvist faceoff won against David Krejci,St. Louis Blues,-22.0,20.0
92,Hit,Sammy Blais hit Connor Clifton,St. Louis Blues,17.0,99.0
93,Missed Shot,Ryan O'Reilly - Wide of Net,St. Louis Blues,3.0,62.0
94,Missed Shot,David Perron - Goalpost,St. Louis Blues,12.0,78.0
95,Penalty,Zdeno Chara Interference against David Perron,Boston Bruins,4.0,81.0
96,Faceoff,Tyler Bozak faceoff won against Patrice Bergeron,St. Louis Blues,-22.0,69.0
97,Shot,Patrice Bergeron Wrist Shot saved by Jordan Binnington,Boston Bruins,-1.0,49.0
98,Blocked Shot,John Moore,Boston Bruins,-13.0,73.0
99,Shot,Colton Parayko Slap Shot saved by Tuukka Rask,St. Louis Blues,0.0,49.0
101,Faceoff,Brayden Schenn faceoff won against Sean Kuraly,St. Louis Blues,-22.0,69.0
102,Missed Shot,Brayden Schenn - Wide of Net,St. Louis Blues,1.0,72.0
103,Hit,Joakim Nordstrom hit Vladimir Tarasenko,Boston Bruins,40.0,77.0
104,Blocked Shot,Sean Kuraly,Boston Bruins,4.0,52.0
105,Shot,Vladimir Tarasenko Wrist Shot saved by Tuukka Rask,St. Louis Blues,30.0,66.0
110,Faceoff,Brayden Schenn faceoff won against Patrice Bergeron,St. Louis Blues,0.0,0.0
111,Shot,Vladimir Tarasenko Snap Shot saved by Tuukka Rask,St. Louis Blues,26.0,-46.0
112,Takeaway,Takeaway by Alex Pietrangelo,St. Louis Blues,39.0,-38.0
113,Shot,Jaden Schwartz Wrist Shot saved by Tuukka Rask,St. Louis Blues,24.0,-76.0
114,Takeaway,Takeaway by Zach Sanford,St. Louis Blues,-7.0,-96.0
115,Giveaway,Giveaway by Zach Sanford,St. Louis Blues,7.0,-97.0
117,Faceoff,Oskar Sundqvist faceoff won against Charlie Coyle,St. Louis Blues,22.0,69.0
118,Blocked Shot,Jay Bouwmeester,St. Louis Blues,4.0,70.0
119,Takeaway,Takeaway by Marcus Johansson,Boston Bruins,12.0,81.0
120,Hit,Noel Acciari hit Robert Bortuzzo,Boston Bruins,-40.0,83.0
121,Hit,Robert Bortuzzo hit Sean Kuraly,St. Louis Blues,-41.0,65.0
122,Giveaway,Giveaway by Connor Clifton,Boston Bruins,-21.0,-97.0
123,Hit,Tyler Bozak hit Connor Clifton,St. Louis Blues,-21.0,-97.0
124,Takeaway,Takeaway by Jaden Schwartz,St. Louis Blues,-12.0,99.0
125,Takeaway,Takeaway by Sean Kuraly,Boston Bruins,-23.0,91.0
127,Faceoff,Patrice Bergeron faceoff won against Brayden Schenn,Boston Bruins,-22.0,69.0
128,Shot,David Pastrnak Snap Shot saved by Jordan Binnington,Boston Bruins,-25.0,85.0
129,Shot,David Pastrnak Wrist Shot saved by Jordan Binnington,Boston Bruins,-26.0,69.0
130,Missed Shot,Charlie McAvoy - Over Net,Boston Bruins,-11.0,82.0
131,Hit,David Krejci hit Vince Dunn,Boston Bruins,39.0,-49.0
132,Hit,David Perron hit Zdeno Chara,St. Louis Blues,34.0,-97.0
133,Giveaway,Giveaway by Zach Sanford,St. Louis Blues,-12.0,-93.0
135,Faceoff,Charlie Coyle faceoff won against Oskar Sundqvist,Boston Bruins,22.0,-20.0
136,Shot,Oskar Sundqvist Wrist Shot saved by Tuukka Rask,St. Louis Blues,29.0,-65.0
137,Blocked Shot,Alexander Steen,St. Louis Blues,3.0,49.0
138,Hit,Charlie McAvoy hit Oskar Sundqvist,Boston Bruins,40.0,-37.0
140,Faceoff,Patrice Bergeron faceoff won against Brayden Schenn,Boston Bruins,22.0,20.0
141,Hit,Charlie McAvoy hit Jaden Schwartz,Boston Bruins,-40.0,73.0
142,Shot,Patrice Bergeron Snap Shot saved by Jordan Binnington,Boston Bruins,-32.0,72.0
144,Faceoff,David Krejci faceoff won against Ryan O'Reilly,Boston Bruins,0.0,0.0
145,Giveaway,Giveaway by Zach Sanford,St. Louis Blues,-26.0,23.0
146,Hit,Zach Sanford hit Charlie McAvoy,St. Louis Blues,-42.0,6.0
147,Hit,David Perron hit Charlie McAvoy,St. Louis Blues,-19.0,-96.0
148,Hit,Charlie McAvoy hit David Perron,Boston Bruins,6.0,-97.0
149,Hit,Jaden Schwartz hit Charlie McAvoy,St. Louis Blues,-33.0,-84.0
150,Missed Shot,Jaden Schwartz - Wide of Net,St. Louis Blues,-9.0,-79.0
151,Shot,Brayden Schenn Wrist Shot saved by Tuukka Rask,St. Louis Blues,-18.0,-71.0
153,Faceoff,Sean Kuraly faceoff won against Robert Thomas,Boston Bruins,-22.0,-69.0
154,Blocked Shot,Robert Thomas,St. Louis Blues,1.0,60.0
155,Takeaway,Takeaway by Sean Kuraly,Boston Bruins,-17.0,-43.0
157,Faceoff,Brayden Schenn faceoff won against Sean Kuraly,St. Louis Blues,-22.0,-69.0
158,Hit,Sean Kuraly hit Jay Bouwmeester,Boston Bruins,-19.0,99.0
160,Faceoff,Brayden Schenn faceoff won against Patrice Bergeron,St. Louis Blues,-22.0,69.0
161,Penalty,Brad Marchand Tripping against Alex Pietrangelo,Boston Bruins,27.0,92.0
162,Faceoff,Ryan O'Reilly faceoff won against Sean Kuraly,St. Louis Blues,-22.0,-69.0
163,Missed Shot,Vladimir Tarasenko - Wide of Net,St. Louis Blues,3.0,-42.0
164,Missed Shot,Colton Parayko - Wide of Net,St. Louis Blues,0.0,-69.0
166,Faceoff,Patrice Bergeron faceoff won against David Perron,Boston Bruins,-22.0,-69.0
167,Hit,Jaden Schwartz hit Noel Acciari,St. Louis Blues,32.0,-95.0
